ID,7-温度过高,8-温度预警,15-箱门告警,16-防雷告警,18-风扇故障,19-网络设备异常,20-视频1网络异常,21-补光灯异常开启,22-补光灯异常关闭,23-视频2网络异常,24-视频3网络异常,25-视频4网络异常,26-视频5网络异常,27-视频6网络异常,28-温度低,29-监控网络连接异常,30-市电异常
10126.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.0
10127.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10128.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10129.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10130.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10131.0,None,None,3196.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10132.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10133.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10134.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10135.0,None,None,57.0,None,None,None,None,None,None,None,None,None,None,None,None,7985.0,None
10136.0,None,None,8.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10137.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10138.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10139.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,303.0,None
10140.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10141.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10142.0,None,None,3195.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10143.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10144.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10145.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10146.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10147.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10148.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10149.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10150.0,None,None,None,3188.0,None,None,None,None,None,None,None,None,None,None,None,None,None
10151.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10152.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10153.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10154.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10155.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10156.0,None,None,3196.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10157.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10159.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10160.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10161.0,None,None,6.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10162.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10163.0,None,None,6.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10164.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10165.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10166.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10167.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10168.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10169.0,None,None,7.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10170.0,None,None,6.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10171.0,None,None,3310.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10172.0,None,None,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10173.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10174.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10175.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10176.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10177.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8628.0,None
10178.0,None,None,None,None,None,None,3196.0,None,None,None,None,None,None,None,None,None,None
10179.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10180.0,None,None,8.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10181.0,None,None,25.0,None,None,None,2.0,None,None,None,None,None,None,None,None,None,None
10182.0,None,None,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10183.0,None,None,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10184.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10185.0,None,None,15.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10186.0,None,None,None,None,None,None,3193.0,None,None,None,None,None,None,None,None,None,None
10187.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10188.0,None,None,None,3182.0,None,None,None,None,None,None,None,None,None,None,None,None,None
10189.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10190.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10191.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10192.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10193.0,None,None,None,3177.0,None,None,None,None,None,None,None,None,None,None,None,None,None
10194.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10195.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10196.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10197.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10198.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10199.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10200.0,None,None,3006.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10201.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10202.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10203.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10204.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10205.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10206.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10207.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10208.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10209.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10210.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10211.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10212.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10213.0,None,None,3202.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10214.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10215.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10216.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10217.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10218.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10219.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10220.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10221.0,None,None,3202.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10222.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10223.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10224.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10225.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10226.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10227.0,None,None,None,3194.0,None,None,None,None,None,None,None,None,None,None,None,None,None
10228.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
